class,precision,recall,f1-score,support
grass,0.8888888888888888,0.8421052631578947,0.8648648648648649,38.0
green,0.8095238095238095,0.8947368421052632,0.85,38.0
gum,0.925,0.9487179487179487,0.9367088607594937,39.0
hair,1.0,0.8461538461538461,0.9166666666666666,39.0
happy,0.8157894736842105,0.8611111111111112,0.8378378378378378,36.0
hat,0.6666666666666666,0.8235294117647058,0.7368421052631579,34.0
hate,0.8181818181818182,0.7714285714285715,0.7941176470588235,35.0
have,0.7222222222222222,0.7647058823529411,0.7428571428571429,34.0
haveto,0.9333333333333333,0.8235294117647058,0.875,34.0
head,0.7954545454545454,0.9210526315789473,0.8536585365853658,38.0
hear,0.8,0.7804878048780488,0.7901234567901234,41.0
helicopter,0.8484848484848485,0.7567567567567568,0.8,37.0
hello,0.9,0.9230769230769231,0.9113924050632911,39.0
hen,0.9459459459459459,0.9210526315789473,0.9333333333333333,38.0
hesheit,0.7777777777777778,0.8235294117647058,0.8,34.0
hide,0.75,0.6666666666666666,0.7058823529411765,36.0
high,0.8947368421052632,0.918918918918919,0.9066666666666666,37.0
home,0.9230769230769231,0.9230769230769231,0.9230769230769231,39.0
horse,1.0,0.9487179487179487,0.9736842105263158,39.0
hot,0.918918918918919,0.8947368421052632,0.9066666666666666,38.0
hungry,0.8048780487804879,0.8461538461538461,0.825,39.0
icecream,0.9069767441860465,0.975,0.9397590361445783,40.0
if,0.9166666666666666,0.9166666666666666,0.9166666666666666,36.0
into,0.6666666666666666,0.5555555555555556,0.6060606060606061,36.0
jacket,0.6428571428571429,0.7941176470588235,0.7105263157894737,34.0
jeans,0.6944444444444444,0.6578947368421053,0.6756756756756757,38.0
jump,0.6511627906976745,0.7368421052631579,0.691358024691358,38.0
kiss,0.8888888888888888,0.8,0.8421052631578947,40.0
kitty,0.7368421052631579,0.7368421052631579,0.7368421052631579,38.0
lamp,0.9354838709677419,0.7837837837837838,0.8529411764705882,37.0
later,0.8809523809523809,0.9736842105263158,0.925,38.0
like,0.9090909090909091,0.7894736842105263,0.8450704225352113,38.0
